"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,3.12737878369,3.22217067072864
2,4.96277163487952,5.66338071301878
3,5.23574394867382,6.26950610848037
4,5.36786877518622,6.44446261221537
5,5.43799825128422,6.54306345901828
6,5.48956555220867,6.60777284910336
7,5.52843526630892,6.65248785355848
8,5.54955206304982,6.68178640975453
9,5.5690725529046,6.70272825152044
10,5.58600505944822,6.72159249345493
11,5.59922639098993,6.73544395088111
12,5.60829921119056,6.74501888350959
13,5.61634995280188,6.75401950813739
14,5.62304749131485,6.76118915177371
15,5.62899602420285,6.76658857705037
