"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,3.10861122431512,7.76395354906561
2,4.17050666243451,8.79711528395774
3,5.12634180980447,8.76553634164681
4,5.51351650970514,8.88093450822383
5,5.80149913017397,9.02175864368819
6,5.94256879431399,9.14788195082748
7,6.04493774822424,9.19710248493984
8,6.08864660019019,9.31457522587582
9,6.11605063706647,9.33124736713571
10,6.14787514254962,9.35083774448205
11,6.16890219618294,9.35340870957433
12,6.20037600621435,9.35389571722407
13,6.23555487728305,9.35666952872071
14,6.25955269384393,9.36204590892884
15,6.28144097586621,9.36990756274695
16,6.29259971015012,9.37694229433472
17,6.3086588352775,9.37558402281306
18,6.32735117205841,9.37634336540391
19,6.35316390300992,9.37707162780503
20,6.37195781477457,9.37490287596825
